timestamp,light_ppfd_umol_m2_s,air_temp_c,relative_humidity_pct,co2_ppm,raw_tank_level_pct,raw_water_temp_c,pump_rpm,flow_rate_l_min,suction_pressure_kpa,discharge_pressure_kpa,motor_current_a,motor_power_kw,bearing_vibration_rms_mm_s,motor_temperature_c,bearing_temperature_c,filter_pressure_in_kpa,filter_pressure_out_kpa,turbidity_ntu,mix_target_ec_ds_m,mix_ec_ds_m,mix_target_ph,mix_ph,mix_temp_c,mix_flow_l_min,dosing_acid_ml_min,drain_ec_ds_m,tank_a_level_pct,tank_b_level_pct,acid_tank_level_pct,zone1_flow_l_min,zone1_pressure_kpa,zone1_substrate_moisture_pct,zone1_substrate_ec_ds_m,zone1_substrate_ph,zone2_flow_l_min,zone2_pressure_kpa,zone2_substrate_moisture_pct,zone2_substrate_ec_ds_m,zone2_substrate_ph,zone3_flow_l_min,zone3_pressure_kpa,zone3_substrate_moisture_pct,zone3_substrate_ec_ds_m,zone3_substrate_ph
2026-03-01 00:00:00,2.772,17.53,78.083,466.921,80.004,16.605,0.0,0.048,0.042,3.324,0.108,0.02,0.099,39.769,38.179,2.188,1.952,1.058,2.18,2.182,5.8,5.792,17.506,0.078,0.185,2.415,87.261,86.144,82.648,0.032,2.124,59.919,2.343,5.842,0.025,1.478,58.892,2.324,5.837,0.026,1.952,58.541,2.331,5.822
2026-03-01 00:10:00,0.0,17.57,80.394,456.254,80.962,17.005,0.0,0.069,-0.071,3.146,0.065,0.01,0.099,39.897,38.148,2.531,2.303,1.14,2.18,2.188,5.8,5.804,17.879,0.069,0.114,2.384,87.961,86.299,82.657,0.022,2.154,59.421,2.342,5.822,0.0,1.294,59.045,2.332,5.832,0.018,2.154,58.977,2.318,5.817
2026-03-01 00:20:00,18.679,17.835,78.922,446.334,80.429,16.872,0.0,0.057,-0.356,2.689,0.049,0.026,0.188,39.906,38.31,2.423,2.204,1.121,2.18,2.181,5.8,5.804,17.898,0.069,0.12,2.423,87.148,86.671,82.639,0.018,2.317,59.676,2.319,5.847,0.012,2.092,58.771,2.324,5.824,0.015,2.125,58.869,2.338,5.826
2026-03-01 00:30:00,1.236,17.964,77.905,472.824,81.172,16.82,1.739,0.047,-0.095,3.193,0.104,0.031,0.105,39.852,38.39,2.675,2.436,1.307,2.18,2.19,5.8,5.805,17.791,0.023,0.147,2.418,87.948,86.221,82.602,0.018,2.119,59.959,2.333,5.847,0.015,1.774,59.346,2.358,5.831,0.019,2.096,58.52,2.306,5.818
2026-03-01 00:40:00,22.049,17.475,78.655,471.147,81.688,16.942,2.352,0.014,-0.125,3.131,0.043,0.004,0.211,39.862,38.249,2.395,2.115,1.307,2.18,2.187,5.8,5.803,17.772,0.003,0.161,2.424,88.416,87.355,82.576,0.021,1.949,59.977,2.353,5.848,0.007,2.251,59.319,2.324,5.833,0.017,1.971,58.9,2.308,5.805
2026-03-01 00:50:00,0.0,17.556,78.326,414.366,80.4,16.674,1.347,0.029,-0.245,3.02,0.046,0.027,0.132,39.877,38.132,2.782,2.575,1.282,2.18,2.192,5.8,5.796,17.598,0.027,0.189,2.387,88.206,86.25,82.679,0.02,1.785,59.7,2.365,5.83,0.007,2.073,59.002,2.326,5.812,0.01,2.484,58.579,2.317,5.827
2026-03-01 01:00:00,12.478,17.953,77.943,468.504,81.626,16.849,0.0,0.082,-0.154,2.291,0.068,0.062,0.109,39.913,38.299,3.049,2.783,1.194,2.18,2.171,5.8,5.79,17.852,0.067,0.157,2.416,87.548,86.661,82.243,0.005,1.87,59.846,2.319,5.837,0.028,1.954,59.11,2.326,5.835,0.02,2.129,58.548,2.319,5.823
2026-03-01 01:10:00,20.059,17.653,78.69,437.405,80.713,16.843,0.0,0.011,-0.158,3.147,0.06,0.025,0.103,39.997,38.018,2.685,2.432,1.268,2.18,2.159,5.8,5.804,17.73,0.042,0.209,2.346,88.351,86.69,82.437,0.023,1.52,60.329,2.318,5.834,0.0,2.009,59.277,2.275,5.831,0.011,2.187,58.724,2.304,5.823
2026-03-01 01:20:00,16.729,17.859,78.595,437.145,80.594,16.938,0.0,0.045,-0.309,3.082,0.095,0.042,0.014,39.904,38.386,2.83,2.634,1.188,2.18,2.177,5.8,5.803,17.929,0.064,0.124,2.381,88.035,86.627,83.2,0.023,1.736,59.976,2.344,5.831,0.008,2.121,59.575,2.312,5.845,0.032,1.759,58.813,2.326,5.813
2026-03-01 01:30:00,31.476,18.02,77.812,449.076,81.078,16.993,1.044,0.109,-0.054,3.156,0.055,0.026,0.107,39.792,38.395,2.336,2.072,1.168,2.18,2.173,5.8,5.806,17.86,0.049,0.0,2.41,88.522,87.0,82.629,0.013,2.171,59.734,2.332,5.833,0.032,2.238,59.312,2.337,5.827,0.013,1.74,58.321,2.316,5.827
2026-03-01 01:40:00,0.0,17.662,80.434,474.32,81.356,16.624,1.466,0.048,-0.062,3.309,0.132,0.034,0.102,39.695,38.006,2.4,2.135,1.189,2.18,2.19,5.8,5.797,17.573,0.02,0.148,2.43,88.436,85.69,82.232,0.013,2.169,59.563,2.383,5.854,0.026,1.882,59.173,2.343,5.824,0.016,1.565,58.204,2.321,5.809
2026-03-01 01:50:00,3.733,17.753,80.07,482.635,80.789,16.868,1.157,0.035,-0.19,3.117,0.099,0.04,0.072,40.044,38.148,2.554,2.273,1.217,2.18,2.193,5.8,5.797,17.795,0.058,0.113,2.403,88.082,86.95,83.167,0.001,2.074,59.868,2.389,5.838,0.008,2.062,59.256,2.34,5.831,0.027,2.2,58.695,2.35,5.831
