컬럼,KS statistic,p-value,drift 감지,전반 중앙값,후반 중앙값,변화율(%)
acid_tank_level_pct,0.9791,0.0,O (주의),69.7255,45.365,-34.9
bearing_temperature_c,0.8331,0.0,O (주의),40.677,44.75,10.0
motor_temperature_c,0.7656,0.0,O (주의),43.083,47.747,10.8
zone1_resistance,0.5531,0.0,O (주의),27.8509,54.5184,95.8
motor_current_a,0.5206,0.0,O (주의),5.532,7.839,41.7
discharge_pressure_kpa,0.5197,0.0,O (주의),173.5485,214.545,23.6
suction_pressure_kpa,0.4915,0.0,O (주의),-10.158,-13.073,-28.7
wire_to_water_efficiency,0.4688,0.0,O (주의),0.038,0.0215,-43.3
mix_flow_l_min,0.4474,0.0,O (주의),24.4335,13.885,-43.2
mix_temp_c,0.4236,0.0,O (주의),19.015,18.368,-3.4
pump_rpm,0.2321,0.0,O (주의),1735.9975,1706.297,-1.7
dosing_acid_ml_min,0.009,0.020772,O (주의),11.272,11.278,0.1
mix_ph,0.0066,0.175062,X (안정),5.8,5.8,0.0
