컬럼,왜도,SW p-value,KS p-value,정규분포?,권장 검정
wire_to_water_efficiency,31.49,0.0,0.0,X,Mann-Whitney 권장
zone1_resistance,14.38,0.0,0.0,X,Mann-Whitney 권장
mix_temp_c,0.56,0.0,0.0,X,Mann-Whitney 권장
pump_rpm,-0.32,0.0,0.0,X,Mann-Whitney 권장
dosing_acid_ml_min,-0.31,0.0,0.0,X,Mann-Whitney 권장
discharge_pressure_kpa,-0.24,0.0,0.0,X,Mann-Whitney 권장
suction_pressure_kpa,0.2,0.0,0.0,X,Mann-Whitney 권장
mix_flow_l_min,0.17,0.0,0.0,X,Mann-Whitney 권장
motor_current_a,-0.13,0.0,0.0,X,Mann-Whitney 권장
acid_tank_level_pct,0.13,0.0,0.0,X,Mann-Whitney 권장
motor_temperature_c,-0.1,0.0,0.0,X,Mann-Whitney 권장
bearing_temperature_c,-0.09,0.0,0.0,X,Mann-Whitney 권장
mix_ph,-0.03,0.0749,0.0,X,Mann-Whitney 권장
